nodes,ctime,cobj,gtime,gobj_ini,gobj_fin,gen,round
10,0.0300829,1524.97,0.013896,1630.2,1524.97,23,0
20,0.388712,2028.58,0.131408,3309.59,2079.15,83,0
30,3.95088,2321.45,0.484903,5978.08,2385.67,103,0
40,11.4264,2516.47,1.2879,7632.12,2741.65,136,0
50,21.3297,2659.04,1.63331,10233.4,3125.6,140,0
60,58.8874,3132.86,4.23853,13143.6,3771.05,300,0
70,265.036,3474.39,5.26236,14970.5,4107.62,306,0
10,0.126171,1436.69,0.014858,1532.58,1436.69,30,1
20,0.350074,1834.06,0.121885,3563.52,1834.06,75,1
30,3.04564,2124.91,0.436615,5708.22,2187.85,92,1
40,8.83648,2603.56,1.50812,7035.64,2859.69,189,1
50,20.0341,2832.59,2.47538,9855.68,3245.45,221,1
60,50.45,2989.29,4.19373,11735,3577.84,300,1
70,88.0541,3370.66,5.99808,15955.1,4499.32,350,1
10,0.0750599,1614.04,0.0111818,1703.49,1614.04,22,2
20,0.243295,2055.3,0.0937569,3061.05,2055.3,58,2
30,3.76179,2134.04,0.499974,5661.52,2175.25,112,2
40,14.312,2249.39,0.937299,7324.53,2383.73,104,2
50,24.0628,2780.61,2.03787,10274.3,3057.08,161,2
60,33.7899,3098.74,3.98928,12957,3890.53,300,2
70,58.5285,3222.47,4.8936,14911.2,4035.98,284,2
10,0.0934398,1179.65,0.0133181,1242.25,1179.65,24,3
20,0.533827,1678.23,0.0792851,3496.12,1717.29,49,3
30,6.51678,2138,0.454179,5655.64,2201.83,99,3
40,9.88425,2510.89,1.7588,7055.88,2849.47,200,3
50,18.6774,2771.13,1.59875,9854.56,3342.75,139,3
60,50.4125,3093.36,2.85917,11899.7,4027.03,170,3
70,143.926,3364.65,7.37086,14361.7,4222.05,350,3
10,0.063072,1414.83,0.016392,1773.93,1414.83,30,4
20,0.606424,1817.92,0.0896249,3198.51,1817.92,54,4
30,4.09674,2217.33,0.336916,5150.92,2401.09,72,4
40,13.4226,2533.25,1.16965,7506.91,2812.78,124,4
50,34.7302,2880.98,2.13059,9681.4,3419.37,181,4
60,100.073,3236.54,2.83667,13224.4,4002.11,178,4
70,103.897,3431.79,5.94021,14712.7,4345.49,337,4
10,0.076247,1381.77,0.0126309,1541.57,1381.77,23,5
20,0.253131,1896.42,0.0833762,3348.64,1896.42,56,5
30,3.13044,2187.9,0.640642,5453.83,2302.47,129,5
40,11.1553,2481.36,1.26623,7943.46,2891.81,152,5
50,18.8281,2894.42,2.76989,9846.93,3373.61,250,5
60,33.2847,2993.45,3.90825,12178.9,3785.68,300,5
70,91.6204,3091.56,6.23582,15222.1,3658.76,350,5
10,0.066366,1270.83,0.0133879,1358.49,1270.83,23,6
20,0.753066,1881.76,0.078968,3346.04,1890.82,48,6
30,3.20598,2255.94,0.719934,5619.76,2398.3,150,6
40,10.963,2588.74,1.79413,8385.05,2825.11,200,6
50,16.0607,2848.64,2.91057,10624.8,3062.54,250,6
60,47.9279,3253.65,3.72719,11253.6,3977.95,300,6
70,108.594,3360.58,4.46539,15614.9,4329.79,297,6
10,0.0735481,1223.84,0.022408,1433,1223.84,39,7
20,0.561776,1824.3,0.151419,3426.56,1824.3,97,7
30,5.23333,2282.4,0.648226,5938.54,2348.96,137,7
40,4.98266,2610.25,1.56561,8979.79,2812.49,179,7
50,21.1825,2954.96,1.93868,10901.1,3441.16,150,7
60,49.3728,3059.65,2.29089,11227.7,3786.97,171,7
70,74.4634,3222.62,4.35155,14990.2,4063.66,224,7
10,0.0645049,1454.39,0.0120139,1767.67,1454.39,23,8
20,0.377539,1843.36,0.103259,3554.46,1843.36,67,8
30,1.73943,2085.09,0.547788,5636.4,2259.87,117,8
40,14.7745,2815.86,1.38343,8903.63,3021.08,160,8
50,28.228,3133.66,3.01572,10583.8,3668.2,250,8
60,55.4858,3248.6,3.73307,12771.7,3801.23,286,8
70,57.824,3214.15,3.93217,14733.1,4157.93,192,8
10,0.0878,1817.86,0.0138941,1912.92,1817.86,24,9
20,1.04912,2071.91,0.233272,3140.15,2081.68,100,9
30,5.16077,2157.05,0.606767,5522.24,2323.47,133,9
40,17.3399,2615.93,1.49624,7625.11,2923.28,177,9
50,20.5016,2775.51,1.56694,9206.08,3204.34,127,9
60,57.8216,3027.01,2.89673,11161.6,3660.62,253,9
70,65.5418,3356.09,5.54343,15201.3,4233.27,297,9
