nodes,ctime,cobj,gtime,gobj_ini,gobj_fin,gen,round
10,0.053237,1480.75,0.0123768,1959.65,1480.75,24,0
20,1.06683,1996.73,0.157636,3134.36,1996.73,100,0
30,1.02689,2201.89,0.260054,6283.39,2422.27,84,0
40,4.06752,2515.02,1.83895,8254.56,2736.19,200,0
50,18.4084,2942,1.95436,11084,3464.19,170,0
60,40.1963,3041.12,2.50781,13803.5,3581.58,188,0
70,93.76,3138.66,6.04999,14654.2,3912.38,311,0
10,0.146602,1361.1,0.012537,1609.7,1361.1,24,1
20,0.295237,1864.49,0.0698972,2904.07,1864.49,48,1
30,1.14094,2175.95,0.528399,5120.54,2289.19,112,1
40,11.7167,2604.18,1.35917,6194.89,2875.53,152,1
50,21.4007,2811.35,2.83613,10113,3275.27,250,1
60,59.4546,3333.54,3.80736,13082.4,4229.73,300,1
70,66.2567,3312.08,6.32255,15597,4144.99,339,1
10,0.0996048,1421.04,0.013247,1601.93,1421.04,23,2
20,1.00358,1873.6,0.095973,3104.9,1873.6,54,2
30,6.33367,2240.3,0.672271,5071.72,2312.37,150,2
40,14.4273,2516.84,1.40525,7851.67,2834.52,144,2
50,21.6061,2860.82,2.14753,10820.1,3452.9,157,2
60,35.548,3123.74,2.74119,13698.6,3895.46,155,2
70,145.46,3255.55,4.78489,14476.4,4047.17,267,2
10,0.0623879,1412.59,0.0125589,1487,1412.59,22,3
20,0.330536,1926.17,0.166037,3291.32,1941.95,100,3
30,1.63825,2407.03,0.528684,6103.78,2535.76,112,3
40,8.78481,2590.87,1.33174,8948.54,2841.05,133,3
50,26.9408,2819.94,1.83802,10432,3308.41,158,3
60,54.795,3147.73,3.26435,13521.9,3944.4,208,3
70,133.019,3367.8,4.36271,15797.9,4293.55,229,3
10,0.058414,1375.11,0.0148079,1684.62,1375.11,26,4
20,0.361821,1988.39,0.158198,3593.97,1988.39,100,4
30,3.60208,2437.73,0.473566,5940.71,2492.12,97,4
40,7.65284,2576.61,1.11858,7900.45,2810.3,108,4
50,37.2697,2949.85,2.63072,9758.79,3392.37,250,4
60,47.4045,2960.72,2.17403,12318.9,3292.26,152,4
70,54.1027,3314.85,2.91879,15308.3,4322.6,171,4
10,0.0345571,1570.86,0.0140851,1688.99,1570.86,23,5
20,0.160403,1942.65,0.100803,3682.03,1942.65,65,5
30,3.38909,2207.09,0.650541,5735.64,2350.22,143,5
40,15.3934,2662.78,1.46073,8175.91,2819.55,158,5
50,29.9295,2949.91,2.38242,9531.06,3439.46,250,5
60,50.5608,3100.79,3.09465,14288.3,3954.89,216,5
70,82.2357,3495.11,3.43149,15722.7,4593.39,201,5
10,0.0519421,1377.1,0.0136631,1753.7,1377.1,26,6
20,0.223571,1877.51,0.124006,3196.25,1877.51,79,6
30,0.578974,2087.16,0.235845,5241.39,2193.12,82,6
40,13.2147,2637.3,1.46829,7578.48,2764.56,193,6
50,29.9026,2980.98,2.08268,11758.1,3501.97,186,6
60,53.9234,3006.38,2.12233,12339.6,3630.65,151,6
70,169.977,3260.59,3.76626,15069.8,4158.77,200,6
10,0.0738769,1577.88,0.0178959,1705.35,1577.88,32,7
20,0.554234,1953.17,0.120587,3612.48,1953.17,89,7
30,4.31913,2372.92,0.327189,5893.09,2469.51,74,7
40,15.3562,2697.5,1.4869,7934.98,2886.49,160,7
50,22.2658,2883.41,2.2637,10115.6,3294.64,220,7
60,52.0757,3206.1,1.91627,14519.7,4006.94,158,7
70,430.707,3313.87,4.92763,16951.3,4213.93,261,7
10,0.0517242,1666.23,0.014395,1825.89,1666.23,25,8
20,0.614208,1987.54,0.100623,3453.2,1987.54,65,8
30,7.7655,2389.31,0.309159,5509.64,2425.38,70,8
40,11.4896,2636.81,1.71318,8262.81,2994.42,188,8
50,31.9087,2962.78,2.24231,9422.65,3385.15,215,8
60,26.9486,2917.85,2.90941,12396.8,3645.06,202,8
70,111.727,3278.13,3.03289,15040.5,4175.66,200,8
10,0.0550709,1402.61,0.0129941,1687.91,1402.61,24,9
20,0.165736,1816.71,0.114491,3579.89,1816.71,69,9
30,1.94991,2296.04,0.522058,5404,2379.76,150,9
40,10.1058,2669.77,0.964021,7692.2,2874.86,112,9
50,23.3705,2554.28,2.37791,9330.75,3086.33,250,9
60,36.1989,3135.51,3.99577,11767.7,3837.3,300,9
70,91.875,3070.01,6.33577,15185.9,3903.62,336,9
