nodes,ctime,cobj,gtime,gobj_ini,gobj_fin,gen,round
10,0.120619,1247.34,0.012866,1298.23,1247.34,23,0
20,0.628881,1819.19,0.097579,3053.74,1819.19,59,0
30,5.19143,1893.81,0.343883,5644.87,1893.81,82,0
40,20.8032,1911.64,1.06649,7796.59,1922.02,119,0
50,45.1342,1781.88,1.229,10023.4,2088.61,148,0
60,135.896,1860.05,3.36678,13410.6,2238.86,300,0
70,340.808,1877.72,6.01535,15967.3,2390.85,348,0
10,0.124449,1432.02,0.0130501,1464.92,1432.02,24,1
20,1.11791,1753.94,0.0800951,3482.79,1753.94,50,1
30,9.20624,1722.92,0.400978,4656.01,1818.01,84,1
40,31.5433,1852.32,1.08466,8985.66,2102.74,110,1
50,32.3652,1949.16,2.3759,10626.4,2264.27,212,1
60,124.854,1771.68,2.71016,12678.8,2113.89,160,1
70,191.995,1809.97,3.20818,15380.1,2334.58,171,1
10,0.150051,1750.33,0.0213339,1958.2,1750.33,45,2
20,0.817784,1806.84,0.0995638,4160.02,1806.84,63,2
30,6.16383,1754.21,0.34393,4762.81,1868.98,74,2
40,19.4026,1787.09,0.980994,8172.23,1958.08,103,2
50,29.6766,1878.79,2.53353,10109.8,2186.21,249,2
60,173.013,1975.47,2.2274,15382.3,2474.79,161,2
70,1686.07,1884.09,3.69968,15894.2,2440.5,235,2
