CPLEX_MEAN_TIME,CPLEX_MEAN_OBJ,GEN_MEAN_TIME,GEN_MEAN_OBJ,MEAN_POP,MATCH,EXCESS,STDDC,STDDM
0.0798222,1997.84,0.0209123,1997.84,23.5,100,-3.41429e-14,0.024407,0.00215464
0.589863,2334.68,0.131998,2335.94,58,90,0.0538679,0.168898,0.0223585
4.0303,2584.43,0.493111,2595.25,103.5,40,0.418819,1.03105,0.0778136
10.5641,2873.29,3.25747,2875.99,158.1,50,0.094127,3.04801,0.81612
42.3352,3073.36,5.75706,3124.48,160.8,10,1.66347,21.5724,1.37947
