CPLEX_MEAN_TIME,CPLEX_MEAN_OBJ,GEN_MEAN_TIME,GEN_MEAN_OBJ,MEAN_POP,MATCH,EXCESS,STDDC,STDDM
0.0793969,2408.51,0.0240833,2408.51,27.3,100,0,0.0280534,0.00641279
0.522144,3188.78,0.151045,3188.78,70.5,100,1.56869e-13,0.219967,0.028675
2.28862,3465.53,0.546024,3484.88,128.1,40,0.558278,0.902528,0.1756
8.66882,4063.41,2.89189,4075.58,143.8,50,0.299295,3.34733,0.824077
19.4141,4513.28,6.85443,4626.4,202.7,0,2.50629,6.41429,1.88871
35.1998,4880.14,12.3446,5060.06,262.3,0,3.68671,5.24864,3.8455
108.959,5343.37,17.2436,5602.04,270.1,0,4.84107,41.8955,5.08255
