CPLEX_MEAN_TIME,CPLEX_MEAN_OBJ,GEN_MEAN_TIME,GEN_MEAN_OBJ,MEAN_POP,MATCH,EXCESS,STDDC,STDDM
0.0709949,2380.9,0.0173929,2380.9,22.8,100,2.57847e-12,0.0335898,0.00240233
0.240249,2468.71,0.0945264,2468.71,49.7,100,0,0.0946507,0.0107767
1.05043,2483.73,0.315655,2483.73,89.9,100,-3.6618e-14,0.955996,0.0334976
2.78046,2494.18,1.6905,2494.18,117.7,100,-3.64646e-14,1.3888,0.280191
6.07008,2498.22,3.84673,2498.22,162.7,100,-5.46087e-14,2.58975,1.16388
11.1153,2499.41,6.54252,2500.08,194.6,90,0.0265498,6.73052,1.08555
30.2864,2502.48,9.54433,2508.02,216.9,50,0.221466,24.7805,2.45316
